count	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_species	verbatim_infra	verbatim_rank	verbatim_verbatimRank	verbatim_scientificName	verbatim_generic	verbatim_author	current_kingdom	current_phylum	current_class	current_order	current_family	current_genus	current_subGenus	current_species	current_scientificName	current_acceptedScientificName	current_kingdomKey	current_phylumKey	current_classKey	current_orderKey	current_familyKey	current_genusKey	current_subGenusKey	current_speciesKey	current_taxonKey	current_acceptedTaxonKey	proposed_kingdom	proposed_phylum	proposed_class	proposed_order	proposed_family	proposed_genus	proposed_subGenus	proposed_species	proposed_scientificName	proposed_acceptedScientificName	proposed_kingdomKey	proposed_phylumKey	proposed_classKey	proposed_orderKey	proposed_familyKey	proposed_genusKey	proposed_subGenusKey	proposed_speciesKey	proposed_taxonKey	proposed_acceptedTaxonKey
4399	Animalia	Chordata	Aves	Gruiformes	Rallidae	Hypotaenidia	null	null	species	null	Hypotaenidia sylvestris	null	null	Animalia	Chordata	Aves	Gruiformes	Rallidae	Hypotaenidia	null	null	Hypotaenidia Reichenbach, 1852	Hypotaenidia Reichenbach, 1852	1	44	212	1493	9342	4852325	null	null	4852325	4852325	Animalia	Chordata	Aves	Gruiformes	Rallidae	Hypotaenidia	null	null	Hypotaenidia Reichenbach, 1853	Hypotaenidia Reichenbach, 1853	1	44	212	1493	9342	4852325	null	null	4852325	4852325
7272	Animalia	Chordata	Aves	Passeriformes	Meliphagidae	Ptilotula	null	null	species	null	Ptilotula plumula	null	null	Animalia	Chordata	Aves	Passeriformes	Meliphagidae	Lichenostomus	null	Lichenostomus plumulus	Ptilotula plumula (Gould, 1841)	Lichenostomus plumulus (Gould, 1841)	1	44	212	729	9319	2486879	null	2486907	7951024	2486907	Animalia	Chordata	Aves	Passeriformes	Meliphagidae	Ptilotula	null	Ptilotula plumula	Ptilotula plumula	Ptilotula plumula	1	44	212	729	9319	4848099	null	7951024	7951024	7951024
1001	Chromista	Heterokontophyta	Phaeophyceae	Fucales	Fucaceae	Fucus	spiralis	null	null	null	Fucus spiralis	null	Linnaeus	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus	null	Fucus spiralis	Fucus spiralis L.	Fucus spiralis L.	4	98	7073593	1182	9641	1010512	null	3196369	3196369	3196369	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus	null	Fucus spiralis	Fucus spiralis L.	Fucus spiralis L.	4	98	7073593	1182	9641	10407176	null	3196369	3196369	3196369
3366	Plantae	null	null	null	null	null	null	null	species	null	Botrychium lunaria	null	null	Plantae	Tracheophyta	Psilotopsida	Ophioglossales	Ophioglossaceae	Botrychium	null	Botrychium lunaria	Botrychium lunaria (L.) Sw.	Botrychium lunaria (L.) Sw.	6	7707728	7219203	393	6627	2650152	null	2650165	2650165	2650165	Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae	Botrychium	null	Botrychium lunaria	Botrychium lunaria (L.) Sw.	Botrychium lunaria (L.) Sw.	6	7707728	7228684	393	6627	2650152	null	2650165	2650165	2650165
49874	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fallopia	null	null	species	null	Fallopia japonica	null	null	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Reynoutria	null	Reynoutria japonica	Fallopia japonica (Houtt.) Ronse Decraene	Reynoutria japonica Houtt.	6	7707728	220	422	2416	8420120	null	2889173	5334357	2889173	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Reynoutria	null	Reynoutria japonica	Fallopia japonica (Houtt.) Ronse Decraene	Reynoutria japonica Houtt.	6	7707728	220	422	2416	7291902	null	2889173	5334357	2889173
1461	null	null	null	null	Asteraceae	null	null	null	null	null	Jacobaea vulgaris	null	null	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Jacobaea	null	Jacobaea vulgaris	Jacobaea vulgaris Gaertn.	Jacobaea vulgaris Gaertn.	6	7707728	220	414	3065	7678064	null	5388602	5388602	5388602	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Jacobaea	null	Jacobaea vulgaris	Jacobaea vulgaris Gaertn.	Jacobaea vulgaris Gaertn.	6	7707728	220	414	3065	5388594	null	5388602	5388602	5388602
1761	null	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	null	null	genus	null	Opitutus	null	null	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	null	null	Opitutus Chin & al., 2001	Opitutus Chin & al., 2001	3	48	7669961	8349054	5613	3229020	null	null	3229020	3229020	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	null	null	Opitutus Chin et al., 2001	Opitutus Chin et al., 2001	3	48	7669961	8349054	5613	3229020	null	null	3229020	3229020
30576	Animalia	null	null	null	Turdidae	null	null	null	species	null	Turdus pilaris	null	null	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Turdus	null	Turdus pilaris	Turdus pilaris Linnaeus, 1758	Turdus pilaris Linnaeus, 1758	1	44	212	729	9322	2490714	null	2490737	2490737	2490737	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	null	Turdus pilaris	Turdus pilaris Linnaeus, 1758	Turdus pilaris Linnaeus, 1758	1	44	212	729	5290	2490714	null	2490737	2490737	2490737
2660	Animalia	Chordata	Aves	null	null	null	null	null	null	null	Turdus ruficollis	null	null	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Turdus	null	Turdus ruficollis	Turdus ruficollis Pallas, 1776	Turdus ruficollis Pallas, 1776	1	44	212	729	9322	2490714	null	2490740	2490740	2490740	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	null	Turdus ruficollis	Turdus ruficollis Pallas, 1776	Turdus ruficollis Pallas, 1776	1	44	212	729	5290	2490714	null	2490740	2490740	2490740
3003	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Arthopyreniaceae	Arthopyrenia	null	null	species	null	Arthopyrenia punctiformis	null	null	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Arthopyreniaceae	Arthopyrenia	null	Arthopyrenia punctiformis	Arthopyrenia punctiformis (Schrank) A.Massal.	Arthopyrenia punctiformis (Schrank) A.Massal.	5	95	183	1047	8356	7090000	null	7253917	7253917	7253917	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Naetrocymbaceae	Naetrocymbe	null	Naetrocymbe punctiformis	Arthopyrenia punctiformis (Pers.) A.Massal.	Naetrocymbe punctiformis (Pers.) R.C.Harris	5	95	183	1047	4102	7883595	null	5510760	7253917	5510760
